id,transaction,android_id,slip_number,order_type,payment_method,items_json,total,status,source,table_number,customer_name,is_unpaid,order_mode,created_at,updated_at
182,"{""id"": 161, ""order_detail"": {""id"": 182, ""slip_number"": ""6049628"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1}, {""productId"": 0, ""name"": ""Delivery Fee 1"", ""price"": 0, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""179.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 182}",,6049628,,,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1}, {""productId"": 0, ""name"": ""Delivery Fee 1"", ""price"": 0, ""quantity"": 1}]",179.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.803083+08:00,2026-06-04T03:46:29.803083+08:00
183,"{""id"": 162, ""order_detail"": {""id"": 183, ""slip_number"": ""6049629"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Only"", ""price"": 159, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""159.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 183}",,6049629,,,"[{""productId"": 7, ""name"": ""Pechopak - Only"", ""price"": 159, ""quantity"": 1}]",159.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.779984+08:00,2026-06-04T03:46:29.779984+08:00
184,"{""id"": 163, ""order_detail"": {""id"": 184, ""slip_number"": ""6049630"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 11, ""name"": ""Wings - Meal"", ""price"": 129, ""quantity"": 1}, {""productId"": 9, ""name"": ""BBQ - Meal"", ""price"": 139, ""quantity"": 1}, {""productId"": 5, ""name"": ""Sprite - 1 Glass"", ""price"": 30, ""quantity"": 2}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""328.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 184}",,6049630,,,"[{""productId"": 11, ""name"": ""Wings - Meal"", ""price"": 129, ""quantity"": 1}, {""productId"": 9, ""name"": ""BBQ - Meal"", ""price"": 139, ""quantity"": 1}, {""productId"": 5, ""name"": ""Sprite - 1 Glass"", ""price"": 30, ""quantity"": 2}]",328.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.767107+08:00,2026-06-04T03:46:29.767107+08:00
185,"{""id"": 164, ""order_detail"": {""id"": 185, ""slip_number"": ""6049631"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 9, ""name"": ""BBQ - Unli"", ""price"": 149, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""149.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 185}",,6049631,,,"[{""productId"": 9, ""name"": ""BBQ - Unli"", ""price"": 149, ""quantity"": 1}]",149.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.755295+08:00,2026-06-04T03:46:29.755295+08:00
186,"{""id"": 165, ""order_detail"": {""id"": 186, ""slip_number"": ""6049632"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 2}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""358.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 186}",,6049632,,,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 2}]",358.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.743928+08:00,2026-06-04T03:46:29.743928+08:00
187,"{""id"": 166, ""order_detail"": {""id"": 187, ""slip_number"": ""6049633"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""159.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 187}",,6049633,,,"[{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1}]",159.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.729742+08:00,2026-06-04T03:46:29.729742+08:00
188,"{""id"": 167, ""order_detail"": {""id"": 188, ""slip_number"": ""6049634"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1}, {""productId"": 9, ""name"": ""BBQ - Unli"", ""price"": 149, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""328.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 188}",,6049634,,,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1}, {""productId"": 9, ""name"": ""BBQ - Unli"", ""price"": 149, ""quantity"": 1}]",328.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.716687+08:00,2026-06-04T03:46:29.716687+08:00
189,"{""id"": 168, ""order_detail"": {""id"": 189, ""slip_number"": ""6049635"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""179.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 189}",,6049635,,,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1}]",179.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.693303+08:00,2026-06-04T03:46:29.693303+08:00
190,"{""id"": 169, ""order_detail"": {""id"": 190, ""slip_number"": ""6049636"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""179.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 190}",,6049636,,,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1}]",179.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.679714+08:00,2026-06-04T03:46:29.679714+08:00
191,"{""id"": 170, ""order_detail"": {""id"": 191, ""slip_number"": ""6049637"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 2}, {""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""457.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 191}",,6049637,,,"[{""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 2}, {""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1}]",457.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.667082+08:00,2026-06-04T03:46:29.667082+08:00
192,"{""id"": 171, ""order_detail"": {""id"": 192, ""slip_number"": ""6049638"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1}, {""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""338.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 192}",,6049638,,,"[{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1}, {""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1}]",338.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.663958+08:00,2026-06-04T03:46:29.663958+08:00
