id,transaction,android_id,slip_number,order_type,payment_method,items_json,total,status,source,table_number,customer_name,is_unpaid,order_mode,created_at,updated_at
5,"{""id"": 5, ""order_detail"": {""id"": 5, ""slip_number"": ""9405863"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}, {""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 2, ""discount"": 0}, {""productId"": 9, ""name"": ""BBQ - Meal"", ""price"": 139, ""quantity"": 2, ""discount"": 0}, {""productId"": 6, ""name"": ""Delivery Fee - DF1"", ""price"": 30, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""1143.00"", ""completed_at"": ""2026-05-05T22:13:24.439326+08:00"", ""order"": 5}",,9405863,DINE_IN,CASH,"[{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}, {""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 2, ""discount"": 0}, {""productId"": 9, ""name"": ""BBQ - Meal"", ""price"": 139, ""quantity"": 2, ""discount"": 0}, {""productId"": 6, ""name"": ""Delivery Fee - DF1"", ""price"": 30, ""quantity"": 1, ""discount"": 0}]",1143.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.368607+08:00,2026-06-04T03:46:32.368607+08:00
6,,,9405864,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}]",179.00,VOIDED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.365609+08:00,2026-06-04T03:46:32.365609+08:00
7,,,9405864,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}]",179.00,VOIDED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.350218+08:00,2026-06-04T03:46:32.350218+08:00
8,"{""id"": 6, ""order_detail"": {""id"": 8, ""slip_number"": ""9405864"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 20}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""322.20"", ""completed_at"": ""2026-05-05T22:23:28.462149+08:00"", ""order"": 8}",,9405864,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 20}]",322.20,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.311913+08:00,2026-06-04T03:46:32.311913+08:00
9,"{""id"": 7, ""order_detail"": {""id"": 9, ""slip_number"": ""9405865"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 1, ""name"": ""Coke - Mismo"", ""price"": 25, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""25.00"", ""completed_at"": ""2026-05-05T22:23:47.879890+08:00"", ""order"": 9}",,9405865,DINE_IN,CASH,"[{""productId"": 1, ""name"": ""Coke - Mismo"", ""price"": 25, ""quantity"": 1, ""discount"": 0}]",25.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.308403+08:00,2026-06-04T03:46:32.308403+08:00
10,"{""id"": 8, ""order_detail"": {""id"": 10, ""slip_number"": ""9405866"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 11, ""name"": ""Wings - Unli"", ""price"": 139, ""quantity"": 1, ""discount"": 0}, {""productId"": 9, ""name"": ""BBQ - Unli"", ""price"": 149, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""288.00"", ""completed_at"": ""2026-05-05T22:24:17.620045+08:00"", ""order"": 10}",,9405866,DINE_IN,CASH,"[{""productId"": 11, ""name"": ""Wings - Unli"", ""price"": 139, ""quantity"": 1, ""discount"": 0}, {""productId"": 9, ""name"": ""BBQ - Unli"", ""price"": 149, ""quantity"": 1, ""discount"": 0}]",288.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.281880+08:00,2026-06-04T03:46:32.281880+08:00
11,"{""id"": 9, ""order_detail"": {""id"": 11, ""slip_number"": ""9405867"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 11, ""name"": ""Wings - One Piece Meal"", ""price"": 79, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""79.00"", ""completed_at"": ""2026-05-05T22:25:17.863459+08:00"", ""order"": 11}",,9405867,DINE_IN,CASH,"[{""productId"": 11, ""name"": ""Wings - One Piece Meal"", ""price"": 79, ""quantity"": 1, ""discount"": 0}]",79.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.268678+08:00,2026-06-04T03:46:32.268678+08:00
12,"{""id"": 10, ""order_detail"": {""id"": 12, ""slip_number"": ""9405868"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 11, ""name"": ""Wings - Meal"", ""price"": 129, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1, ""discount"": 0}, {""productId"": 9, ""name"": ""BBQ - Meal"", ""price"": 139, ""quantity"": 1, ""discount"": 0}, {""productId"": 6, ""name"": ""Delivery Fee - DF1"", ""price"": 30, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""785.00"", ""completed_at"": ""2026-05-05T22:25:50.912056+08:00"", ""order"": 12}",,9405868,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 11, ""name"": ""Wings - Meal"", ""price"": 129, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1, ""discount"": 0}, {""productId"": 9, ""name"": ""BBQ - Meal"", ""price"": 139, ""quantity"": 1, ""discount"": 0}, {""productId"": 6, ""name"": ""Delivery Fee - DF1"", ""price"": 30, ""quantity"": 1, ""discount"": 0}]",785.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.247916+08:00,2026-06-04T03:46:32.247916+08:00
13,"{""id"": 11, ""order_detail"": {""id"": 13, ""slip_number"": ""9405869"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 8, ""name"": ""Liempo - Unli"", ""price"": 199, ""quantity"": 2, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""398.00"", ""completed_at"": ""2026-05-05T22:26:37.069787+08:00"", ""order"": 13}",,9405869,DINE_IN,CASH,"[{""productId"": 8, ""name"": ""Liempo - Unli"", ""price"": 199, ""quantity"": 2, ""discount"": 0}]",398.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.234661+08:00,2026-06-04T03:46:32.234661+08:00
14,"{""id"": 12, ""order_detail"": {""id"": 14, ""slip_number"": ""9405870"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""318.00"", ""completed_at"": ""2026-05-05T22:28:27.967415+08:00"", ""order"": 14}",,9405870,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1, ""discount"": 0}]",318.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.232664+08:00,2026-06-04T03:46:32.232664+08:00
15,"{""id"": 13, ""order_detail"": {""id"": 15, ""slip_number"": ""9405871"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 2, ""discount"": 0}, {""productId"": 1, ""name"": ""Coke - Mismo"", ""price"": 25, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""383.00"", ""completed_at"": ""2026-05-05T22:29:13.321940+08:00"", ""order"": 15}",,9405871,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 2, ""discount"": 0}, {""productId"": 1, ""name"": ""Coke - Mismo"", ""price"": 25, ""quantity"": 1, ""discount"": 0}]",383.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.209943+08:00,2026-06-04T03:46:32.209943+08:00
16,"{""id"": 14, ""order_detail"": {""id"": 16, ""slip_number"": ""9405872"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Only"", ""price"": 159, ""quantity"": 2, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""318.00"", ""completed_at"": ""2026-05-05T22:29:29.477136+08:00"", ""order"": 16}",,9405872,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Only"", ""price"": 159, ""quantity"": 2, ""discount"": 0}]",318.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.207932+08:00,2026-06-04T03:46:32.207932+08:00
17,"{""id"": 15, ""order_detail"": {""id"": 17, ""slip_number"": ""9405873"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Only"", ""price"": 139, ""quantity"": 2, ""discount"": 0}, {""productId"": 11, ""name"": ""Wings - Only"", ""price"": 119, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""397.00"", ""completed_at"": ""2026-05-05T22:30:07.370026+08:00"", ""order"": 17}",,9405873,DINE_IN,CASH,"[{""productId"": 10, ""name"": ""Leg - Only"", ""price"": 139, ""quantity"": 2, ""discount"": 0}, {""productId"": 11, ""name"": ""Wings - Only"", ""price"": 119, ""quantity"": 1, ""discount"": 0}]",397.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.184939+08:00,2026-06-04T03:46:32.184939+08:00
18,"{""id"": 16, ""order_detail"": {""id"": 18, ""slip_number"": ""9405874"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}, {""productId"": 3, ""name"": ""Icetea - Icetea"", ""price"": 39, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""357.00"", ""completed_at"": ""2026-05-05T22:30:24.468792+08:00"", ""order"": 18}",,9405874,DINE_IN,CASH,"[{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}, {""productId"": 3, ""name"": ""Icetea - Icetea"", ""price"": 39, ""quantity"": 1, ""discount"": 0}]",357.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.172052+08:00,2026-06-04T03:46:32.172052+08:00
19,"{""id"": 17, ""order_detail"": {""id"": 19, ""slip_number"": ""9405875"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""318.00"", ""completed_at"": ""2026-05-05T22:30:47.522104+08:00"", ""order"": 19}",,9405875,DINE_IN,CASH,"[{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}]",318.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.159423+08:00,2026-06-04T03:46:32.159423+08:00
20,"{""id"": 18, ""order_detail"": {""id"": 20, ""slip_number"": ""9405876"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}, {""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 2, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""676.00"", ""completed_at"": ""2026-05-05T22:32:54.983934+08:00"", ""order"": 20}",,9405876,DINE_IN,CASH,"[{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}, {""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 2, ""discount"": 0}]",676.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.131845+08:00,2026-06-04T03:46:32.131845+08:00
21,"{""id"": 19, ""order_detail"": {""id"": 21, ""slip_number"": ""9405877"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 1, ""name"": ""Coke - 1.5"", ""price"": 120, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""120.00"", ""completed_at"": ""2026-05-05T22:33:21.474671+08:00"", ""order"": 21}",,9405877,DINE_IN,CASH,"[{""productId"": 1, ""name"": ""Coke - 1.5"", ""price"": 120, ""quantity"": 1, ""discount"": 0}]",120.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.128845+08:00,2026-06-04T03:46:32.128845+08:00
22,"{""id"": 20, ""order_detail"": {""id"": 22, ""slip_number"": ""9405878"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""149.00"", ""completed_at"": ""2026-05-05T22:33:35.313802+08:00"", ""order"": 22}",,9405878,DINE_IN,CASH,"[{""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1, ""discount"": 0}]",149.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.107987+08:00,2026-06-04T03:46:32.107987+08:00
23,"{""id"": 21, ""order_detail"": {""id"": 23, ""slip_number"": ""9405879"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 2, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""338.00"", ""completed_at"": ""2026-05-05T22:33:46.118534+08:00"", ""order"": 23}",,9405879,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 2, ""discount"": 0}]",338.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.096821+08:00,2026-06-04T03:46:32.096821+08:00
24,"{""id"": 22, ""order_detail"": {""id"": 24, ""slip_number"": ""9405880"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""149.00"", ""completed_at"": ""2026-05-05T22:34:07.534005+08:00"", ""order"": 24}",,9405880,DINE_IN,CASH,"[{""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1, ""discount"": 0}]",149.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.082141+08:00,2026-06-04T03:46:32.082141+08:00
25,"{""id"": 23, ""order_detail"": {""id"": 25, ""slip_number"": ""9405881"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 1, ""name"": ""Coke - Mismo"", ""price"": 25, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""204.00"", ""completed_at"": ""2026-05-05T22:35:02.001150+08:00"", ""order"": 25}",,9405881,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 1, ""name"": ""Coke - Mismo"", ""price"": 25, ""quantity"": 1, ""discount"": 0}]",204.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.069118+08:00,2026-06-04T03:46:32.069118+08:00
26,"{""id"": 24, ""order_detail"": {""id"": 26, ""slip_number"": ""9405882"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}, {""productId"": 3, ""name"": ""Icetea - Icetea"", ""price"": 39, ""quantity"": 2, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""396.00"", ""completed_at"": ""2026-05-05T22:35:20.642040+08:00"", ""order"": 26}",,9405882,DINE_IN,CASH,"[{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}, {""productId"": 3, ""name"": ""Icetea - Icetea"", ""price"": 39, ""quantity"": 2, ""discount"": 0}]",396.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.057457+08:00,2026-06-04T03:46:32.057457+08:00
27,"{""id"": 25, ""order_detail"": {""id"": 27, ""slip_number"": ""9405883"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 3, ""name"": ""Icetea - Icetea"", ""price"": 39, ""quantity"": 2, ""discount"": 0}, {""productId"": 9, ""name"": ""BBQ - Unli"", ""price"": 149, ""quantity"": 2, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""376.00"", ""completed_at"": ""2026-05-05T22:35:46.861913+08:00"", ""order"": 27}",,9405883,DINE_IN,CASH,"[{""productId"": 3, ""name"": ""Icetea - Icetea"", ""price"": 39, ""quantity"": 2, ""discount"": 0}, {""productId"": 9, ""name"": ""BBQ - Unli"", ""price"": 149, ""quantity"": 2, ""discount"": 0}]",376.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.043942+08:00,2026-06-04T03:46:32.043942+08:00
28,"{""id"": 26, ""order_detail"": {""id"": 28, ""slip_number"": ""9405884"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 9, ""name"": ""BBQ - Only"", ""price"": 129, ""quantity"": 1, ""discount"": 0}, {""productId"": 8, ""name"": ""Liempo - Only"", ""price"": 179, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""308.00"", ""completed_at"": ""2026-05-05T22:36:02.862226+08:00"", ""order"": 28}",,9405884,DINE_IN,CASH,"[{""productId"": 9, ""name"": ""BBQ - Only"", ""price"": 129, ""quantity"": 1, ""discount"": 0}, {""productId"": 8, ""name"": ""Liempo - Only"", ""price"": 179, ""quantity"": 1, ""discount"": 0}]",308.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.031582+08:00,2026-06-04T03:46:32.031582+08:00
29,,,9405885,DINE_IN,CASH,"[{""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1, ""discount"": 87}]",19.37,VOIDED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.017793+08:00,2026-06-04T03:46:32.017793+08:00
30,"{""id"": 27, ""order_detail"": {""id"": 30, ""slip_number"": ""9405886"", ""order_type"": ""TAKE_OUT"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Only"", ""price"": 139, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""139.00"", ""completed_at"": ""2026-05-06T12:59:42.549702+08:00"", ""order"": 30}",,9405886,TAKE_OUT,CASH,"[{""productId"": 10, ""name"": ""Leg - Only"", ""price"": 139, ""quantity"": 1, ""discount"": 0}]",139.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.004605+08:00,2026-06-04T03:46:32.004605+08:00
31,"{""id"": 28, ""order_detail"": {""id"": 31, ""slip_number"": ""9405887"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": ""4"", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 2, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""338.00"", ""completed_at"": ""2026-05-06T14:55:12.513207+08:00"", ""order"": 31}",,9405887,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 2, ""discount"": 0}]",338.00,COMPLETED,walk-in,4,,False,REGULAR,2026-06-04T03:46:31.982151+08:00,2026-06-04T03:46:31.982151+08:00
32,"{""id"": 29, ""order_detail"": {""id"": 32, ""slip_number"": ""9405888"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""169.00"", ""completed_at"": ""2026-05-06T16:29:26.352536+08:00"", ""order"": 32}",,9405888,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 1, ""discount"": 0}]",169.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:31.980152+08:00,2026-06-04T03:46:31.980152+08:00
33,"{""id"": 30, ""order_detail"": {""id"": 33, ""slip_number"": ""9405889"", ""order_type"": ""DINE_IN"", ""payment_method"": ""GCASH"", ""table_number"": """", ""items_json"": [{""productId"": 9, ""name"": ""BBQ - Only"", ""price"": 129, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Only"", ""price"": 139, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""268.00"", ""completed_at"": ""2026-05-06T17:45:55.917098+08:00"", ""order"": 33}",,9405889,DINE_IN,GCASH,"[{""productId"": 9, ""name"": ""BBQ - Only"", ""price"": 129, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Only"", ""price"": 139, ""quantity"": 1, ""discount"": 0}]",268.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:31.967058+08:00,2026-06-04T03:46:31.967058+08:00
34,"{""id"": 31, ""order_detail"": {""id"": 34, ""slip_number"": ""9405890"", ""order_type"": ""DINE_IN"", ""payment_method"": ""GCASH"", ""table_number"": """", ""items_json"": [{""productId"": 3, ""name"": ""Icetea - Icetea"", ""price"": 39, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""39.00"", ""completed_at"": ""2026-05-06T18:01:37.904334+08:00"", ""order"": 34}",,9405890,DINE_IN,GCASH,"[{""productId"": 3, ""name"": ""Icetea - Icetea"", ""price"": 39, ""quantity"": 1, ""discount"": 0}]",39.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:31.954240+08:00,2026-06-04T03:46:31.954240+08:00
35,"{""id"": 32, ""order_detail"": {""id"": 35, ""slip_number"": ""9405891"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": ""2"", ""items_json"": [{""productId"": 8, ""name"": ""Liempo - Meal"", ""price"": 189, ""quantity"": 1}, {""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""338.00"", ""completed_at"": ""2026-05-06T19:32:47.375765+08:00"", ""order"": 35}",,9405891,DINE_IN,CASH,"[{""productId"": 8, ""name"": ""Liempo - Meal"", ""price"": 189, ""quantity"": 1}, {""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1}]",338.00,COMPLETED,walk-in,2,,False,REGULAR,2026-06-04T03:46:31.940191+08:00,2026-06-04T03:46:31.940191+08:00
36,"{""id"": 33, ""order_detail"": {""id"": 36, ""slip_number"": ""9405892"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": ""1"", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""318.00"", ""completed_at"": ""2026-05-06T20:01:29.541333+08:00"", ""order"": 36}",,9405892,DINE_IN,CASH,"[{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}]",318.00,COMPLETED,walk-in,1,,False,REGULAR,2026-06-04T03:46:31.926151+08:00,2026-06-04T03:46:31.926151+08:00
